bb_window,atr_multiplier_scale,max_hold_bars_scale,adx_window,adx_threshold,min_trending_adx,fast_ema,slow_ema,rsi_window,rsi_ob,trend_filter_window,market_sma_window,sharpe,sortino,total_return_%,max_drawdown_%,win_rate_%,trades,profit_factor
10,1.25,1.0,14,25,40,9,20,14,70,0,200,-0.13,-0.067,-3.99,-11.03,50.0,148,0.573
20,1.0,0.5,14,25,40,9,20,14,70,0,200,-0.131,-0.062,-4.04,-11.89,44.7,141,0.504
10,1.5,1.5,14,25,40,9,20,14,70,0,200,-0.131,-0.071,-4.01,-11.27,53.1,147,0.585
10,0.75,1.0,14,25,40,9,20,14,70,0,0,-0.134,-0.083,-6.31,-12.16,45.1,246,0.571
20,1.5,1.0,14,25,40,9,20,14,70,0,0,-0.134,-0.085,-6.26,-12.44,50.7,215,0.578
10,0.75,0.5,14,25,40,9,20,14,70,0,200,-0.137,-0.067,-4.15,-11.31,43.6,156,0.524
10,0.75,1.5,14,25,40,9,20,14,70,0,0,-0.138,-0.086,-6.43,-12.29,45.9,246,0.568
20,1.5,1.5,14,25,40,9,20,14,70,0,0,-0.139,-0.092,-6.43,-12.84,51.6,215,0.584
10,1.5,1.0,14,25,40,9,20,14,70,0,200,-0.144,-0.075,-4.29,-11.27,50.7,148,0.558
20,1.5,0.5,14,25,40,9,20,14,70,0,200,-0.151,-0.073,-4.43,-11.79,45.3,137,0.475
10,0.75,0.5,14,25,40,9,20,14,70,0,0,-0.152,-0.091,-6.88,-11.94,42.3,246,0.506
10,1.25,0.5,14,25,40,9,20,14,70,0,200,-0.156,-0.077,-4.53,-11.03,44.6,148,0.484
10,1.5,0.5,14,25,40,9,20,14,70,0,200,-0.158,-0.079,-4.56,-11.12,44.6,148,0.481
10,1.25,1.5,14,25,40,9,20,14,70,0,0,-0.171,-0.11,-7.38,-12.61,49.1,232,0.526
20,1.25,0.5,14,25,40,9,20,14,70,0,0,-0.172,-0.101,-7.39,-12.59,43.3,215,0.455
20,1.0,0.5,14,25,40,9,20,14,70,0,0,-0.172,-0.099,-7.42,-12.64,43.9,223,0.462
10,1.0,1.5,14,25,40,9,20,14,70,0,0,-0.175,-0.112,-7.56,-12.66,46.9,239,0.522
10,1.25,1.0,14,25,40,9,20,14,70,0,0,-0.176,-0.111,-7.54,-12.56,48.1,233,0.514
10,1.0,1.0,14,25,40,9,20,14,70,0,0,-0.176,-0.109,-7.56,-12.48,45.8,240,0.515
10,1.0,0.5,14,25,40,9,20,14,70,0,200,-0.176,-0.086,-5.0,-11.48,43.8,153,0.466
10,1.5,1.5,14,25,40,9,20,14,70,0,0,-0.196,-0.129,-8.13,-12.92,49.1,232,0.504
10,1.25,0.5,14,25,40,9,20,14,70,0,0,-0.196,-0.119,-8.15,-12.34,42.1,233,0.442
20,1.5,0.5,14,25,40,9,20,14,70,0,0,-0.199,-0.118,-8.17,-12.91,43.3,215,0.429
10,1.5,1.0,14,25,40,9,20,14,70,0,0,-0.203,-0.13,-8.33,-12.96,48.1,233,0.49
10,1.0,0.5,14,25,40,9,20,14,70,0,0,-0.207,-0.125,-8.5,-12.47,41.7,240,0.436
10,1.5,0.5,14,25,40,9,20,14,70,0,0,-0.212,-0.13,-8.6,-12.54,42.1,233,0.428
50,1.5,1.5,14,25,40,9,20,14,70,100,200,-0.349,-0.067,-0.19,-0.28,50.0,6,0.508
50,1.25,1.5,14,25,40,9,20,14,70,100,200,-0.405,-0.075,-0.22,-0.29,50.0,6,0.474
50,1.5,1.0,14,25,40,9,20,14,70,100,200,-0.446,-0.08,-0.23,-0.28,50.0,6,0.456
50,0.75,1.0,14,25,40,9,20,14,70,100,200,-0.45,-0.063,-0.22,-0.32,50.0,6,0.474
50,0.75,1.5,14,25,40,9,20,14,70,100,200,-0.45,-0.063,-0.22,-0.32,50.0,6,0.474
50,1.25,1.0,14,25,40,9,20,14,70,100,200,-0.507,-0.088,-0.26,-0.29,50.0,6,0.429
50,0.75,0.5,14,25,40,9,20,14,70,100,200,-0.601,-0.082,-0.28,-0.32,50.0,6,0.312
50,0.75,1.0,14,25,40,9,20,14,70,0,200,-0.606,-0.312,-1.21,-2.27,45.3,86,0.758
50,1.0,1.0,14,25,40,9,20,14,70,100,200,-0.65,-0.095,-0.33,-0.38,50.0,6,0.374
50,1.0,1.5,14,25,40,9,20,14,70,100,200,-0.65,-0.095,-0.33,-0.38,50.0,6,0.374
50,0.75,1.0,14,25,40,9,20,14,70,0,100,-0.651,-0.291,-1.25,-2.68,42.9,70,0.733
50,1.5,1.5,14,25,40,9,20,14,70,100,0,-0.655,-0.118,-0.39,-0.4,42.9,7,0.336
50,1.25,1.5,14,25,40,9,20,14,70,100,0,-0.68,-0.125,-0.38,-0.38,42.9,7,0.337
50,0.75,1.5,14,25,40,9,20,14,70,100,0,-0.686,-0.103,-0.34,-0.35,42.9,7,0.363
50,0.75,1.0,14,25,40,9,20,14,70,100,0,-0.686,-0.103,-0.34,-0.35,42.9,7,0.363
50,1.0,1.0,14,25,40,9,20,14,70,0,100,-0.725,-0.323,-1.42,-2.9,44.8,67,0.711
50,0.75,1.5,14,25,40,9,20,14,70,0,100,-0.751,-0.35,-1.46,-3.0,42.9,70,0.705
50,1.5,1.0,14,25,40,9,20,14,70,100,0,-0.754,-0.128,-0.43,-0.44,42.9,7,0.313
50,1.0,1.0,14,25,40,9,20,14,70,0,200,-0.763,-0.376,-1.56,-2.61,45.8,83,0.71
50,1.25,0.5,14,25,40,9,20,14,70,100,200,-0.765,-0.118,-0.36,-0.36,50.0,6,0.264
50,1.5,0.5,14,25,40,9,20,14,70,100,200,-0.769,-0.121,-0.36,-0.36,50.0,6,0.263
50,0.75,1.5,14,25,40,9,20,14,70,100,100,-0.777,-0.024,-0.18,-0.18,0.0,1,0.0
50,0.75,1.0,14,25,40,9,20,14,70,100,100,-0.777,-0.024,-0.18,-0.18,0.0,1,0.0
50,0.75,0.5,14,25,40,9,20,14,70,100,100,-0.777,-0.024,-0.18,-0.18,0.0,1,0.0
50,1.25,1.0,14,25,40,9,20,14,70,100,0,-0.785,-0.136,-0.43,-0.43,42.9,7,0.313
50,1.0,0.5,14,25,40,9,20,14,70,100,200,-0.799,-0.114,-0.39,-0.39,50.0,6,0.246
50,0.75,1.5,14,25,40,9,20,14,70,0,200,-0.8,-0.43,-1.62,-2.79,45.3,86,0.704
50,1.0,1.5,14,25,40,9,20,14,70,0,100,-0.809,-0.378,-1.61,-3.2,44.8,67,0.695
50,1.25,1.0,14,25,40,9,20,14,70,0,200,-0.816,-0.408,-1.74,-2.74,47.6,82,0.686
50,0.75,0.5,14,25,40,9,20,14,70,100,0,-0.837,-0.124,-0.41,-0.42,42.9,7,0.239
50,0.75,0.5,14,25,40,9,20,14,70,0,100,-0.861,-0.364,-1.57,-2.97,37.1,70,0.641
50,1.5,1.0,14,25,40,9,20,14,70,0,200,-0.887,-0.431,-1.99,-3.02,47.6,82,0.656
50,1.0,1.0,14,25,40,9,20,14,70,100,0,-0.891,-0.138,-0.47,-0.47,42.9,7,0.295
50,1.0,1.5,14,25,40,9,20,14,70,100,0,-0.891,-0.138,-0.47,-0.47,42.9,7,0.295
50,1.25,1.5,14,25,40,9,20,14,70,0,200,-0.91,-0.474,-2.03,-3.18,47.6,82,0.667
50,1.25,1.0,14,25,40,9,20,14,70,0,100,-0.928,-0.408,-1.88,-3.31,45.5,66,0.649
50,1.0,1.5,14,25,40,9,20,14,70,0,200,-0.939,-0.487,-1.96,-3.08,45.8,83,0.67
50,1.0,0.5,14,25,40,9,20,14,70,0,100,-0.972,-0.406,-1.79,-3.14,39.7,68,0.61
50,1.5,1.5,14,25,40,9,20,14,70,0,200,-0.996,-0.512,-2.33,-3.47,47.6,82,0.636
50,1.0,0.5,14,25,40,9,20,14,70,100,100,-0.997,-0.049,-0.23,-0.23,0.0,1,0.0
50,1.0,1.0,14,25,40,9,20,14,70,100,100,-0.997,-0.049,-0.23,-0.23,0.0,1,0.0
50,1.0,1.5,14,25,40,9,20,14,70,100,100,-0.997,-0.049,-0.23,-0.23,0.0,1,0.0
50,1.25,1.5,14,25,40,9,20,14,70,0,100,-1.002,-0.453,-2.11,-3.69,45.5,66,0.633
50,1.5,1.0,14,25,40,9,20,14,70,0,100,-1.008,-0.45,-2.15,-3.59,45.5,66,0.618
50,1.5,1.0,14,25,40,9,20,14,70,100,100,-1.011,-0.071,-0.25,-0.26,0.0,1,0.0
50,1.5,1.5,14,25,40,9,20,14,70,100,100,-1.011,-0.071,-0.25,-0.26,0.0,1,0.0
50,1.0,0.5,14,25,40,9,20,14,70,100,0,-1.038,-0.158,-0.53,-0.53,42.9,7,0.194
50,1.25,0.5,14,25,40,9,20,14,70,100,0,-1.043,-0.163,-0.53,-0.53,42.9,7,0.196
